DateTime,AddedIPs,RemovedIPs
1594876775,56,55
1594877495,53,63
1594878215,53,52
1594878935,54,51
1594879656,67,63
1594880375,48,48
1594881096,62,50
1594881815,58,49
1594882536,51,44
1594883256,65,40
1594884216,74,116
1594884936,52,325
1594885655,54,56
1594886376,36,59
1594887095,60,43
1594887815,58,49
1594888536,48,49
1594889255,59,42
1594889975,58,53
1594890696,64,37
1594891415,188,52
1594892135,118,64
1594892855,108,66
1594893575,53,51
1594894295,44,46
1594895015,56,51
1594895736,65,62
1594896455,74,41
1594897176,81,46
1594897896,77,47
1594898615,54,54
1594899336,57,54
1594900055,50,40
1594900775,48,39
1594901736,78,67
1594902455,63,30
1594903177,55,40
1594903895,55,49
1594904855,53,56
1594905575,52,50
1594906295,48,46
1594907015,42,41
1594907736,44,38
1594908936,83,97
1594909895,55,62
1594910616,60,43
1594911335,40,43
1594912056,51,39
1594912776,55,30
1594913976,80,64
1594914696,54,54
1594915416,46,45
1594916376,58,63
1594917096,33,216
1594917815,36,47
1594918535,53,40
1594919256,56,30
1594919975,36,42
1594920695,53,40
1594921416,36,42
1594922136,39,36
1594922856,30,45
1594923575,45,57
1594924296,87,44
1594925015,61,48
1594925735,53,45
1594926455,44,54
1594927416,47,52
1594928375,57,68
1594929096,40,49
1594929815,42,26
1594930536,40,55
1594931256,40,120
1594931975,45,39
1594932695,52,27
1594933655,170,66
1594934615,69,69
1594935336,38,56
1594936056,58,60
1594936775,44,57
1594937495,46,66
1594938215,43,50
1594938936,36,62
1594939656,44,86
1594940376,42,89
1594940975,42,58
1594941696,37,53
1594942295,34,42
1594943015,53,53
1594943736,42,96
1594944456,36,84
1594945175,55,78
1594945896,39,76
1594946615,49,73
1594947336,35,55
1594948055,40,44
1594948775,49,52
1594949495,104,49
1594950215,39,74
1594950935,45,58
1594951655,48,59
1594952374,48,45
1594953096,44,38
1594953815,43,79
1594954536,140,64
1594955256,54,59
1594955976,39,74
1594956695,106,62
1594957416,70,74
1594958136,46,61
1594958855,46,63
1594959576,48,55
1594960295,40,31
1594961016,45,40
1594961736,50,56
1594962456,45,65
1594963175,33,50
1594963895,44,45
1594964615,101,58
1594965336,84,50
1594966055,77,53
1594966776,48,41
1594967496,75,53
1594968215,75,53
1594968936,57,54
1594969656,109,53
1594970376,84,59
1594971095,80,41
1594971815,62,42
1594972535,58,44
1594973256,42,49
1594973976,54,53
1594974695,55,41
1594975415,58,62
1594976136,46,57
1594976855,62,55
1594977576,39,112
1594978296,42,113
1594979016,57,74
1594979735,43,68
1594980456,39,43
1594981175,56,46
1594982136,65,89
1594982856,55,62
1594983576,65,74
1594984295,64,69
1594985015,57,50
1594985735,57,54
1594986456,50,49
1594987175,52,53
1594987895,53,56
1594988617,48,48
1594989336,42,55
1594990055,52,51
1594990775,43,50
1594991495,41,50
1594992216,58,39
1594992935,91,42
1594993656,41,46
1594994375,52,44
1594995096,47,38
1594995815,56,42
1594996536,57,38
1594997255,51,44
1594997976,46,49
1594998695,45,47
1594999415,44,48
1595000136,55,49
1595000856,49,33
1595001575,52,60
1595002296,68,52
1595003016,86,30
1595003735,78,34
1595004456,69,40
1595005175,53,41
1595005896,57,46
1595006616,52,33
1595007336,67,48
1595008055,39,27
1595008775,46,33
1595009495,35,32
1595010215,59,47
1595010937,41,101
1595011896,66,72
1595012616,58,44
1595013335,51,43
1595014056,54,31
1595014776,48,36
1595015496,29,33
1595016216,35,41
1595016936,45,37
1595017655,67,41
1595018376,81,42
1595019095,70,41
1595020057,148,161
1595020835,72,4726
1595021736,4737,27
1595022456,44,44
1595023175,55,34
1595023895,61,27
1595024615,59,29
1595025335,31,24
1595026055,48,27
1595026776,37,26
1595027496,53,41
1595028215,45,36
1595028935,49,43
1595029655,41,40
1595030376,41,39
1595031096,44,33
1595031816,42,50
1595032535,45,36
1595033255,54,41
1595033975,52,26
1595034695,49,43
1595035415,44,38
1595036136,50,95
1595036855,56,40
1595037575,41,38
1595038296,45,52
1595039016,37,40
1595039616,48,30
1595040215,59,30
1595040935,53,120
1595041656,58,51
1595042375,41,35
1595043096,47,65
1595043816,41,46
1595044536,44,48
1595045255,51,39
1595045975,36,48
1595046695,33,47
1595047415,33,42
1595048135,25,33
1595049095,75,62
1595049816,52,39
1595050536,41,51
1595051255,45,72
1595051975,39,52
1595052695,41,60
1595053416,38,65
1595054136,44,75
1595054855,40,59
1595055576,31,50
1595056295,44,106
1595057016,57,81
1595057736,40,60
1595058455,50,54
1595059175,42,48
1595059896,36,42
1595060616,31,43
1595061335,30,45
1595062056,43,45
1595062775,40,48
1595063497,45,50
1595064215,33,46
1595064935,47,40
1595065655,36,57
1595066376,41,33
1595067096,37,41
1595067815,38,45
1595068536,27,43
1595069255,46,50
1595069976,36,53
1595070695,35,55
1595071416,90,60
1595072135,36,41
1595072855,47,42
1595073575,29,51
1595074295,36,45
1595075015,35,55
1595075735,42,39
1595076456,34,45
1595077176,40,41
1595077896,44,38
1595078615,40,55
1595079336,40,85
1595080056,39,46
1595080776,33,44
1595081495,55,624
1595082216,33,56
1595082935,42,56
1595083656,35,44
1595084377,52,38
1595085096,49,50
1595085815,39,36
1595086536,48,61
1595087255,33,46
1595087976,63,33
1595088695,45,32
1595089416,58,59
1595090136,54,46
1595090855,42,51
1595091575,46,36
1595092296,32,30
1595093016,47,28
1595093735,51,40
1595094456,47,38
1595095175,108,39
1595096136,47,54
1595097096,50,75
1595098055,45,51
1595099015,61,73
1595099735,35,43
1595100456,26,45
1595101175,39,38
1595101896,50,29
1595102616,41,19
1595103335,41,41
1595104056,36,69
1595104775,85,64
1595105496,44,47
1595106216,45,66
1595106936,56,63
1595107656,35,47
1595108375,38,35
1595109096,21,41
1595109815,60,49
1595110535,103,57
1595111255,101,35
1595111975,67,27
1595112696,29,33
1595113416,35,34
1595114136,60,40
1595114856,53,46
1595115576,61,52
1595116295,57,38
1595117015,43,29
1595117735,37,44
1595118456,72,32
1595119176,47,36
1595119895,69,52
1595120615,38,48
1595121335,28,40
1595122059,52,35
1595122775,62,37
1595123495,54,48
1595124456,56,51
1595125175,43,34
1595125895,35,38
1595126615,50,62
1595127336,38,53
1595128056,33,34
1595128776,30,37
1595129496,40,39
1595130215,38,40
1595130935,43,35
1595131656,39,40
1595132376,39,25
1595133096,45,37
1595133815,43,35
1595134535,35,26
1595135256,28,43
1595135976,27,53
1595136936,42,43
1595137655,35,44
1595138375,36,34
1595139096,42,41
1595139815,48,35
1595140537,61,40
1595141256,52,34
1595141977,32,24
1595142695,59,39
1595143415,55,46
1595144136,47,35
1595144856,63,41
1595145576,60,40
1595146296,45,40
1595147015,42,22
1595147736,55,25
1595148455,51,42
1595149175,76,44
1595149896,78,35
1595150615,63,33
1595151335,42,46
1595152055,29,46
1595152776,38,30
1595153495,34,41
1595154215,44,40
